Receive custom command: 2 from address 0x7921
[256786][I][ZigbeeHandlers.cpp:371] zb_cmd_custom_cluster_req_handler(): Payload size: 61
[256787][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x0] = 0x0
[256787][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x1] = 0x1a

[256788][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x2] = 0x27
[256788][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x3] = 0x1
[256788][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x4] = 0x0
[256789][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x5] = 0x1
[256789][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x6] = 0x1

[256790][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x7] = 0x65
[256790][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x8] = 0x1
						     ster_req_handler(): Payload [0x9] = 0x0
[256791][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xa] = 0x1
[256792][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xb] = 0x0

[256792][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xc] = 0x66
[256792][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xd] = 0x4
[256793][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xe] = 0x0
[256793][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0xf] = 0x1
[256794][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x10] = 0x0

[256794][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x11] = 0x6f
[256795][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x12] = 0x4
[256795][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x13] = 0x0
[256795][I][ZigbeeHandlers.cpp:373] zb_cmd_custom_cluster_req_handler(): Payload [0x14] = 0x1
